forehead,nose,cheek,before_stimulus_forehead,before_stimulus_nose,before_stimulus_cheek,stimulus_forehead,stimulus_nose,stimulus_cheek,after_stimulus_forehead,after_stimulus_nose,after_stimulus_cheek,resting_forehead,resting_nose,resting_cheek,current_alphabet,alphabet_display_time,space_bar_pressed_time
32.93749999999999,32.575,32.31250000000001,32.91666666666667,32.58333333333333,32.333333333333336,32.95,32.6,32.3,32.725088284518854,31.460999999999505,31.19426778242679,32.885784641067936,32.64060934891457,32.62385642737928,H,1704773478183,1704773479744
32.90625,32.56875000000001,32.2625,32.86666666666667,32.56666666666666,32.28333333333334,32.975,32.6,32.275,32.723740943555214,31.45353411962881,31.186899747261986,32.885784641067936,32.64060934891457,32.62385642737928,W,1704773480193,1704773480737
32.875,32.525000000000006,32.25,32.88333333333333,32.483333333333334,32.28333333333333,32.875,32.55,32.225,32.7226297709924,31.446263782866335,31.179686174724278,32.885784641067936,32.64060934891457,32.62385642737928,U,1704773482199,1704773482520
32.9125,32.525000000000006,32.29375,32.900000000000006,32.5,32.21666666666667,32.95,32.525,32.3,32.7214180187874,31.438894107599864,31.172416737830808,32.885784641067936,32.64060934891457,32.62385642737928,D,1704773484192,1704773484534
32.95,32.55000000000001,32.293749999999996,32.9,32.46666666666667,32.29999999999999,32.95,32.574999999999996,32.3,32.72010361135001,31.431423043851634,31.164488392089346,32.885784641067936,32.64060934891457,32.62385642737928,Q,1704773486196,1704773486554
32.881249999999994,32.5375,32.3625,33.0,32.516666666666666,32.36666666666667,32.9,32.5,32.275,32.71833809523815,31.42367532467488,31.15653679653671,32.885784641067936,32.64060934891457,32.62385642737928,F,1704773488186,1704773488504
32.91874999999999,32.6,32.34375000000001,32.9,32.56666666666667,32.38333333333333,32.925,32.55,32.3,32.71741979075854,31.41568875326897,31.14803836094148,32.885784641067936,32.64060934891457,32.62385642737928,R,1704773490189,1704773490553
32.9875,32.63125,32.387499999999996,32.95,32.666666666666664,32.36666666666667,33.1,32.7,32.475,32.71556672519757,31.40684372256325,31.13937664618074,32.885784641067936,32.64060934891457,32.62385642737928,N,1704773492198,1704773492577
32.9,32.53124999999999,32.3375,32.96666666666667,32.666666666666664,32.41666666666667,32.875,32.5,32.325,32.71399690539347,31.39853669319145,31.1306808134393,32.885784641067936,32.64060934891457,32.62385642737928,W,1704773494188,1704773494526
32.768750000000004,32.175,31.881249999999998,32.78333333333333,32.1,31.8,32.8,32.2,31.875,32.71329519145145,31.392515583258692,31.124532502226025,32.885784641067936,32.64060934891457,32.62385642737928,R,1704773496194,1704773496527
32.775000000000006,32.3125,32.087500000000006,32.75,32.28333333333333,32.0,32.8,32.375,32.1,32.71298699551572,31.38609417040315,31.118161434977402,32.885784641067936,32.64060934891457,32.62385642737928,Q,1704773498199,1704773498520
32.8125,32.37499999999999,32.06250000000001,32.73333333333334,32.416666666666664,32.11666666666667,32.775,32.3,31.975,32.712629177958505,31.379173441733947,31.111065943992575,32.885784641067936,32.64060934891457,32.62385642737928,H,1704773500189,1704773500568
32.89375,32.3875,32.03125,32.93333333333333,32.4,32.083333333333336,32.849999999999994,32.375,32.0,32.71121974522297,31.37183348498586,31.104185623293713,32.885784641067936,32.64060934891457,32.62385642737928,I,1704773502198,1704773502536
32.89375,32.39999999999999,32.018750000000004,32.88333333333333,32.35,31.96666666666667,32.85,32.4,32.05,32.71001879010086,31.364477543537582,31.097616865261063,32.885784641067936,32.64060934891457,32.62385642737928,K,1704773504188,1704773504564
32.912499999999994,32.474999999999994,32.012499999999996,32.93333333333334,32.55,32.1,32.9,32.5,31.975,32.70843074792247,31.3560895660199,31.090581717451347,32.885784641067936,32.64060934891457,32.62385642737928,O,1704773506197,1704773506532
32.8875,32.393750000000004,31.94375,32.78333333333333,32.31666666666667,31.900000000000002,32.85,32.3,31.924999999999997,32.70742372093026,31.348786046511275,31.084372093023106,32.885784641067936,32.64060934891457,32.62385642737928,Q,1704773508185,1704773508544
